Topic,Word,Frequency
1,bangalore,56
2,airport,54
3,ninchi,1
4,baitaki,1
5,raagane,1
6,micro,1
7,goa,2
8,feels,1
9,cafes,6
10,resto,1
11,bars,1
12,brewery,2
13,early,1
14,morning,2
15,flight,2
16,catch,1
17,one,6
18,shud,1
19,go,2
20,late,1
21,night,2
22,try,2
23,open,1
24,soul,1
25,mate,1
26,breeze,1
27,awesome,1
28,check,5
29,mitti,1
30,cafe,45
31,around,1
32,purpose,1
33,driven,1
34,initiative,1
35,enabling,1
36,differently,1
37,abled,1
38,socent,1
39,.,1
40,anyone,2
41,want,2
42,hang,1
43,bar,1
44,outside,3
45,feel,1
46,really,1
47,tempted,1
48,never,2
49,time,3
50,energy,1
51,til,1
52,karnataka,3
53,style,1
54,restaurant,2
55,t3,1
56,food,2
57,court,1
58,delhi,1
59,high,1
60,veena,1
61,stores,2
62,banagalore,1
63,equivalent,1
64,bubble,2
65,stranger,1
66,offered,1
67,co,1
68,founder,1
69,role,1
70,crypto,2
71,startup,1
72,10,2
73,minute,1
74,chat,1
75,startups,1
76,playing,1
77,w,1
78,fire,1
79,life,1
80,goes,1
81,played,1
82,random,1
83,street,1
84,dogratishaa,1
85,beautiful,2
86,video,1
87,made,2
88,day,10
89,saw,1
90,sparrows,4
91,inside,4
92,several,1
93,number,1
94,got,1
95,breweries,1
96,restaurants,2
97,sweetshops,1
98,whatever,1
99,need,3
100,wish,1
101,would,1
102,indian,2
103,flag,1
104,tricolour,1
105,tajbangalore,1
106,ashwinrb,1
107,iphonexs,1
108,iphoneography,1
109,shotoniphone,1
110,77,1
111,east,1
112,taj,1
113,good,4
114,drink,1
115,beer,3
116,windmills,2
117,place,3
118,wearebangalore,1
119,count,1
120,clicking,1
121,pictures,2
122,people,2
123,celebrity,3
124,leave,1
125,must,2
126,clicked,1
127,different,1
128,mobiles,1
129,kalki,1
130,koechlin,1
131,minimalism,2
132,adorable,1
133,cafeteller,1
134,cafehopper,1
135,teampixel,1
136,cafelife,1
137,caferacersofinstagram,1
138,nammabengaluru,1
139,waiting,2
140,become,1
141,interesting,1
142,adventurous,1
143,barleys,1
144,grapes,1
145,kempegowda,1
146,international,1
147,lounge,3
