full_text,sentiment
came sat near picked remnants pongal consumed mind seeing sparrows long long time food court bangalore airport today worldsparrowday let us wish well sparrows,Positive
blrairport bangalore airport outside food court best hangout place bangalore beats mg rd indira nagar fr late night long drive food fun,Positive
soon step bangalore airport building two things give trailer city 1 liquor airport open air food court full premium liquor stores 2 traffic mess construction everywhere total chaos road bangalore,Negative
kidding bangalore airport food court like downtown mountain view,Positive
traveled bangalore airport mysore finding petrol pump food court difficult,Negative
bangalore airport seem forgotten suppose run airport make people depart arrive efficiently rather looks interested running food court mall choking passengers pathetic kempegowda_air blrairport,Negative
til karnataka style restaurant t3 food court delhi high time bangalore airport one veena stores banagalore cafe equivalent,Neutral
bangalore airport food court immersed book didnt even check someone sat table mins lot murmurs ard looked see dravid sitting nxt eating finished food quietly walked away,Neutral
came picked remnants pongal mind seeing sparrows long long time food court bangalore airport today worldsparrowday let us wish well sparrows fast disappearing,Positive
huh bangalore airport pretty comprehensive food court landside,Positive
time 2011 precise sparrows could found inside bangalore airport terminal abundance tanuisance would eat droppings food court restaurant,Neutral
fact last sparrows saw close departure terminal food court bangalore airport sharing food 6 yrs ago,Positive
getting better opinion bangalore airport takes least time baggage arrival acrosss india seen efficiency anywhere else food court outside better anywhere else,Positive
thank staying connected coupon applicable case order placed swiggy food court specialized kiosk located bangalore airport regret applicable regular orders,Positive
saffrontrail livefromalounge bangalore airport least hot fresh food even mumbai extent mind paying food court kind pre prepared stuff would actually happy uncut fruit well even nuts high sugar etc option carry,Positive
bangalore airport sparrows hopping around food court,Neutral
airlines charge 500 bucks crappy food bangalore airport food court quite decent jet lounge even better,Negative
try food court bangalore airport costly tasty,Negative
biggest challenge bangalore airport finding seat food court,Positive
birds bangalore airport food court,Neutral
remember bangalore airport food court,Neutral
disturbed sparrows going extinct urban areas visit bangalore airport food court,Negative
india funnily though see lots sparrows bangalore airport move around food court w fear,Negative
taste india bangalore airport filled like mall food court,Positive
many sparrows bangalore airport food court,Neutral
bangalore airport food court sucks big time,Negative
sparrow invasion bangalore airport food court normal,Neutral
sparrows flying around food court bangalore airport,Neutral
well lots sparrows inside bangalore airport picking food left behind food court,Positive
best company u could get bangalore airport food court sparrows,Positive
species wings place bangalore airport sparrows food court,Neutral
thick dense fog flight operations go haywire bangalore airport news record breaking sale dosas food court,Neutral
bangalore airport using one self ordering kiosk food court,Neutral
dangerous close airport rt sachinkalbag sparrow invasion bangalore airport food court normal,Negative
young prozpekt lol n half bangalore airport food court,Positive
Avoid sugary fried foods Cut soft drinks .Made blr airport. En route home now. Maps show 1 hr 5 min. God help me.,Positive
smooth Landing Woman Pilots Indigo 6E 229 Chennai Airport.The food damn good! 2nd pic Karela (bitter gourd).,Positive
Bangalore Aviation . person screaming water.There free water fountains airport. Go drink .,Positive
Checked street food-style stalls airport. feel like I'm food market.,Positive
Time dessert. gelato Bangalore Airport sweet treat beat heat.,Positive
Love BLR Airport wide selection fresh fruit juices. Staying healthy traveling.,Positive
Tried local mango lassi. refreshing.,Neutral
miss chaat stall Bangalore Airport. flavor explosion every bite.,Negative
Stumbled upon local bakery airport. pastries heavenly,Positive
Waiting connecting flight plate crispy pakoras. Airport munchies best.,Positive
"can't resist aroma freshly baked bread airport bakery. Baguette, anyone.",Neutral
food court BLR Airport like mini food festival. many options.,Positive
"Bangalore Airport, must try vada pav. local favorite!",Positive
Grabbing pizza slice go. airport's pizzeria makes amazing thin-crust pizzas.,Positive
"Garden City, locals do. Savored coconut water BLR Airport.",Neutral
Airport food courts come long way. Bangalore Airport's food court true culinary adventure.,Positive
Found cute little bakery picked fresh macarons journey.,Positive
Grabbing quick bite airport food truck. kebabs mouthwatering.,Neutral
Indian street food best.Tried pani puri BLR Airport.,Positive
Stopping bakery muffin. treats perfect mid-flight snack.,Positive
Staying healthy track fruit salad airport's juice bar.,Positive
Browsing duty-free shops creamy milkshake hand. Shopping + Shakes = Happiness.,Positive
Tried airport's tandoori platter. flavors world.,Neutral
Grabbing smoothie beat heat. airport's smoothie bar many options.,Neutral
