Topic,Word,Frequency
1,kidding,1
2,bangalore,27
3,airport,30
4,food,38
5,court,29
6,like,4
7,downtown,1
8,mountain,1
9,view,1
10,traveled,1
11,mysore,1
12,finding,2
13,petrol,1
14,pump,1
15,difficult,1
16,til,1
17,karnataka,1
18,style,1
19,restaurant,2
20,t3,1
21,delhi,1
22,high,1
23,time,4
24,one,2
25,veena,1
26,stores,1
27,banagalore,1
28,cafe,1
29,equivalent,1
30,came,1
31,picked,2
32,remnants,1
33,pongal,1
34,mind,1
35,seeing,1
36,sparrows,12
37,long,3
38,today,1
39,worldsparrowday,1
40,let,1
41,us,1
42,wish,1
43,well,2
44,fast,1
45,disappearing,1
46,huh,1
47,pretty,1
48,comprehensive,1
49,landside,1
50,2011,1
51,precise,1
52,could,2
53,found,1
54,inside,2
55,terminal,2
56,abundance,1
57,tanuisance,1
58,would,1
59,eat,1
60,droppings,1
61,fact,1
62,last,1
63,saw,1
64,close,2
65,departure,1
66,sharing,1
67,6,1
68,yrs,1
69,ago,1
70,hopping,1
71,around,3
72,airlines,1
73,charge,1
74,500,1
75,bucks,1
76,crappy,1
77,quite,1
78,decent,1
79,jet,1
80,lounge,1
81,even,1
82,better,1
83,try,2
84,costly,1
85,tasty,1
86,biggest,1
87,challenge,1
88,seat,1
89,birds,1
90,remember,1
91,disturbed,1
92,going,1
93,extinct,1
94,urban,1
95,areas,1
96,visit,1
97,india,2
98,funnily,1
99,though,1
100,see,1
101,lots,2
102,move,1
103,w,1
104,fear,1
105,taste,1
106,filled,1
107,mall,1
108,many,3
109,sucks,1
110,big,1
111,sparrow,2
112,invasion,2
113,normal,2
114,flying,1
115,picking,1
116,left,1
117,behind,1
118,best,1
119,company,1
120,u,1
121,get,1
122,species,1
123,wings,1
124,place,1
125,thick,1
126,dense,1
127,fog,1
128,flight,2
129,operations,1
130,go,1
131,haywire,1
132,news,1
133,record,1
134,breaking,1
135,sale,1
136,dosas,1
137,using,1
138,self,1
139,ordering,1
140,kiosk,1
141,dangerous,1
142,rt,1
143,sachinkalbag,1
144,young,1
145,prozpekt,1
146,lol,1
147,n,1
148,half,1
149,Avoid,1
150,sugary,1
151,fried,1
152,foods,1
153,Cut,1
154,soft,1
155,drinks,1
156,.Made,1
157,blr,1
158,airport.,4
159,En,1
160,route,1
161,home,1
162,now.,1
163,Maps,1
164,show,1
165,1,1
166,hr,1
167,5,1
168,min.,1
169,God,1
