Topic,Word,Frequency
1,landed,1
2,bangalore,61
3,airport,73
4,pleasantly,1
5,surprised,1
6,new,3
7,shops,3
8,amp,3
9,restaurants,27
10,miss,1
11,class,1
12,apart,1
13,want,2
14,open,6
15,vegan,1
16,restaurant,34
17,name,2
18,tempeh,1
19,gowda,1
20,even,2
21,though,1
22,may,1
23,worse,1
24,selection,1
25,compared,1
26,delhi,2
27,t3,2
28,much,3
29,beautiful,2
30,say,1
31,aesthetic,1
32,outside,5
33,make,2
34,feel,1
35,like,6
36,city,3
37,red,1
38,sauce,1
39,pasta,1
40,lounge,3
41,better,2
42,many,4
43,whatever,1
44,priced,1
45,bengaluru,1
46,calling,2
47,ccd,1
48,boyzone,1
49,rock,1
50,band,1
51,used,1
52,guitar,1
53,one,6
54,song,1
55,back,2
56,hotel,4
57,work,3
58,nice,2
59,food,14
60,safe,1
61,twice,1
62,mouth,1
63,allergy,1
64,inside,7
65,inspection,1
66,fssaiindia,1
67,become,1
68,lively,1
69,lots,1
70,still,1
71,paying,1
72,emi,1
73,credit,1
74,card,1
75,bill,1
76,incurred,1
77,2,2
78,months,1
79,ago,1
80,sure,3
81,today,1
82,seems,1
83,far,1
84,relaxed,1
85,rush,1
86,sipping,1
87,coke,1
88,lone,1
89,alone,1
90,india,3
91,pblc,1
92,place,1
93,stop,1
94,spending,1
95,money,2
96,social,1
97,media,1
98,build,1
99,long,2
100,time,4
101,car,1
102,parking,1
103,would,4
104,great,4
105,visit,2
106,see,5
107,completed,1
108,malguldi,1
109,days,2
110,really,2
111,pleased,1
112,design,1
113,awesome,2
114,transformation,1
115,find,1
116,shopping,2
117,area,1
118,bars,1
119,remember,1
120,nothing,1
121,except,1
122,roads,1
123,bial,1
124,til,1
125,karnataka,1
126,style,1
127,court,2
128,high,1
129,veena,1
130,stores,3
131,banagalore,1
132,cafe,1
133,equivalent,1
134,mens,1
135,toilet,1
136,near,1
137,choose,2
138,self,1
139,service,2
140,vibrator,1
141,given,1
142,customers,2
143,vibrates,1
144,inform,1
145,go,1
146,get,1
147,counter,1
148,blr,1
149,counters,2
150,ones,2
151,beyond,1
152,security,2
153,check,3
154,taste,1
155,serves,2
156,plastic,1
157,plates,2
158,whch,1
159,lk,1
160,hv,1
161,bn,1
162,cursorily,1
163,washed,1
164,dspsbl,1
165,eatrightmonk,1
166,kfc,1
167,mcdonalds,1
168,south,3
169,indian,3
170,filled,1
171,carbs,1
172,biryanis,1
173,etc,2
174,guy,1
175,shouting,1
176,opened,1
177,late,1
178,thus,1
179,huge,1
180,line,1
181,literally,1
182,said,1
183,shameful,1
184,wait,1
185,breakfast,3
186,sum,1
187,sick,1
188,fr,1
189,blrairport,1
190,harassment,1
191,available,3
192,flights,1
193,land,1
194,11pm,1
195,small,4
196,snacks,2
197,junk,1
198,hours,2
199,old,1
200,closed,1
201,people,3
202,stay,1
203,unhealthy,1
204,must,1
205,going,3
206,coringa,1
207,andhra,1
208,yelahanka,1
209,dog,1
210,along,1
211,send,1
212,spend,1
213,terminal,2
214,businesses,1
215,run,1
216,profit,1
217,handing,1
218,pvt,1
219,increase,1
220,productivity,1
221,employment,1
222,opportunities,1
223,tourism,1
224,kerala,1
225,look,2
226,come,2
227,take,2
228,flight,2
229,bombay,1
230,kickass,1
231,parsi,1
232,need,2
233,fancy,2
234,european,1
235,baggage,1
236,screeners,1
237,stumbling,1
238,half,1
239,asleep,1
240,full,1
241,exhausted,1
242,brain,1
243,swiggy,1
244,pe,1
245,kare,1
246,called,1
247,malgudi,4
248,looks,1
249,well,2
250,thought,1
251,retail,1
252,f,1
253,b,1
254,vegetarian,2
255,non,2
256,tiffin,2
257,box,1
258,something,1
259,idli,2
260,stall,1
261,assure,1
262,u,1
263,roaring,1
264,business,1
265,got,3
