full_text,sentiment
airline pain waiting 30 min baggage drop bangalore airport redirected another counter waited 30 minutes employees accommodating finally need literally run board flight,Negative
remember sitting bangalore airport night traveling hanoi flight going via dmk airport bangkok mostly saw middle aged men groups sitting waiting area discussing gleefully massages take,Neutral
unstablemaria waiting bangalore airport,Neutral
much bangalore airport t2 wonderful inside outside mess exit long term parking main road accident waiting happen exit road towards big road exiting city 2 lane gully half time gets blocked taxi fellows,Negative
looks like waiting area first floor bangalore airport terminal 1 revamped,Positive
doom scrolling good sometimes like right bangalore airport waiting next flight anything else doom scroll till boarding next flight starts conveniently sat near charging point,Neutral
matter fancy airport inaugurated problem remains flight cx623 landed 12 22 bangalore airport t2 still waiting bag bangalore,Negative
matter fancy airport inaugurated problem remains waiting bag since hour bangalore airport t2 flight_cx623 narendramodi,Negative
indigo6e conversation customer care yesterday passenger bangalore airport waiting wheelchair assistance person last night well said raised ticket investigated need proper update,Positive
waiting bangalore airport flight take funnily flight apparently crew guess someone get past bangalore traffic time,Positive
also know flight duration mentioned airport airport conveniently forget time takes bangalore airport actual bangalore waiting time airport internal commute chennai etc else make fun,Positive
uber_india wrong uber go services bangalore airport waiting hour cab horrible pathetic services uber,Negative
cabs bangalore airport terminal 2 long waiting queue ola uber zone olacabs uber_india cabs,Negative
karnataka police waiting arrive bangalore airport,Neutral
indigo6e really pathetic experience coming back kerala mumbai mean whats wrong flights literally waiting since past 3 hours bangalore airport amp another two hours kerala waited mean kind experience give cust,Negative
wanted take ride offering 40 minutes waiting bangalore airport,Neutral
indigo harass 10 passenger ccu mangalore dt 06 08 2023 dep 6 45 ccu arrive mangalore 11 00 reaching bangalore airport 9 30 amp say flight technical issue going mangalore waiting flight 2 45 pm lots argument solution,Negative
unknown_bruh_ chennaiflights akasaair aaichnairport 1 bangalore airport ability provide much offers since privatized decide concessions fuel tax less karnataka green airfield airport planned constructed add many points waiting paranthur airport,Positive
indigo6e sad see 17th year birthday going wrong way get indigo early option bangalore airport today indigo servers waiting airport past 6 hours next flight really embarrassing see big airline server issues,Negative
bhash olaelectric waiting refund ola bangalore airport ride complaint,Negative
taxi driver waiting bangalore airport trap guys run,Negative
bangalore airport domestic terminal airports reminder world vast full possibilities waiting us explore latenightflight latenight latenightthoughts,Neutral
airindia back game harrowing flight bangalore mumbai multiple gate changes couple days back sitting bangalore airport waiting last 7 hours get mumbai flight delayed announcements help,Negative
quickridein amazing especially bangalore airport ola_supports bhash uber_india completely created mess making minimum waiting time 30 mnts,Positive
bangalore airport security need really improve first time held bag gerber oats baby food 2nd time camera lithium ion battery obviously carry took 1 hour waiting bags cleared reasons,Positive
uber standing bangalore airport t2 waiting uber go however person way behind queue offered bribe took cab ka05ak8805 requested needful,Negative
indigo6e bangalore bangalore airport waiting time shuttle bus 25 minutes bangalore alto chennai flying time 40 minutes luggage arrival time chennai 30 minutes oops hope get worse,Positive
justbecausena indiahistorypic yup colleague maharashtra used say parents left home bombay reach bangalore would leave flat time would often find parents waiting bangalore airport time reached,Positive
