tweet,sentiment
looks like waiting area first floor bangalore airport terminal 1 revamped,Positive
indigo6e conversation customer care yesterday passenger bangalore airport waiting wheelchair assistance person last night well said raised ticket investigated need proper update,Positive
waiting bangalore airport flight take funnily flight apparently crew guess someone get past bangalore traffic time,Positive
also know flight duration mentioned airport airport conveniently forget time takes bangalore airport actual bangalore waiting time airport internal commute chennai etc else make fun,Positive
unknown_bruh_ chennaiflights akasaair aaichnairport 1 bangalore airport ability provide much offers since privatized decide concessions fuel tax less karnataka green airfield airport planned constructed add many points waiting paranthur airport,Positive
quickridein amazing especially bangalore airport ola_supports bhash uber_india completely created mess making minimum waiting time 30 mnts,Positive
bangalore airport security need really improve first time held bag gerber oats baby food 2nd time camera lithium ion battery obviously carry took 1 hour waiting bags cleared reasons,Positive
indigo6e bangalore bangalore airport waiting time shuttle bus 25 minutes bangalore alto chennai flying time 40 minutes luggage arrival time chennai 30 minutes oops hope get worse,Positive
justbecausena indiahistorypic yup colleague maharashtra used say parents left home bombay reach bangalore would leave flat time would often find parents waiting bangalore airport time reached,Positive
early 2018 waiting board flight bangalore airport saw men dressed white kurta dhoti speaking kannada seemingly profile rural farmers possibly stereotyping let us presume true walking around airport,Positive
waiting vistara flight hyderabad bangalore airport certainly better organised comfortable lot vip passengers escorted across hundreds wait patiently next time come white starched shirt,Positive
sat beside girl red hoodie bangalore airport 7th june 3 30am 4 45 waiting flight one hyderabad wearing specs twitter thing help find scripted,Positive
currently 1 hour waiting cabs bangalore airport please look matter priority,Positive
dear uber waiting cab since hours que bangalore airport service provided uber days,Positive
guy sitting next solved germany economic recession phone sitting waiting area bangalore airport layovers air travel lot fun,Positive
bangalore airport waiting area seat trash learn normal spend thousands air tickets hundreds snacks amp beverages please,Positive
akasaair domestic departure checkin counter bangalore airport counter 59 60 waiting time 1 hour 2 past midnight first ever flight guys serious dampener god bless airline,Positive
indigo6e sitting flight 9pm take time 9 20 flight till bangalore airport already 1 hr late crew announcing anything regarding sitting waiting flight take guys value passenger time,Positive
go air bothering inform passengers waiting bangalore airport delays g8 118 scheduled depart 2135 hrs bengaluru dgcaindia jm_scindia moca_goi pib_moca,Positive
trusted bangalore airport drop taxi service matter go cab waiting best airport taxi service provider since 2014 gocabxi outstationtaxi droptaxiservice outstationcabservice,Positive
uber waiting 30 mins cab bangalore airport app tell waiting time book escalated marshal effectively said life service abysmal,Positive
bangalore airport greatly improved last 5 months also sa pila sa immigration nung nagppile na yung queue 3 windows opened sped waiting time wala nako sasabihin lol pure observation lang,Positive
dearest airfrancein currently bangalore airport roughly 5 hours waiting check midnight flight please open check counters food stores security im dying,Positive
landed bangalore airport booked uber get back home reached pickup point uber representative said minimum waiting time 40 minutes approached random taxi driver offered sharing taxi price single taxi,Positive
used digi yatra today bangalore airport skipped waiting behind atleast 50 people saved atleast 15 20 mns know whether happening airports things changing good india faster rate good initiatives government,Positive
waiting bangalore airport hour seems technical glitch answer ground team need better response solution,Positive
much waiting time bangalore airport cabs issue plz let us know booking book something else go,Positive
please check functioning toll plaza near bangalore airport always long que nice road city entire fun lost waiting please something,Positive
airindiain landing bangalore airport waiting baggage since 30 minutes lol okay mistake book air india flight apologise,Positive
chaipoint_cares pls take care service quality bangalore airport exit waiting since 10 minutes ginger time go ur competition,Positive
people waiting taxis new bangalore airport something illogical still understand still construction airport facility ola uber people waiting line hours safety people night,Positive
hey uber long queue bangalore airport t2 drivers coming waiting almost 1 hours help,Positive
looks like waiting area first floor bangalore airport terminal 1 revamped,Positive
bangalore airport waiting area seat trash learn normal spend thousands air tickets hundreds snacks amp beverages please,Positive
blrairport officejmsc india jmscindia dgcaindia hi respected sirs thanks blessing us lovely waiting area bangalore airport please also help commonsense use 1 seat head 1 legs 1 luggage others,Positive
blrairport today travelling bangalore airport need medicine purchase found medical store first floor security area waiting area enquired info desk told medical store surprise,Positive
guy sitting next solved germany economic recession phone sitting waiting area bangalore airport layovers air travel lot fun,Positive
bangalore airport small domestic international limited check kiosks security cumbersome passenger waiting area also smaller lounge bangalore much better though,Positive
time bangalore airport good try visiting ground level lounge great ambiance food fab great waiting area well p properly sanitized proper precautions taken cheers blrairport,Positive
puro gusto coffee shop waiting area bangalore airport fave coffee really good renovation months god knows building,Positive
