Topic,Word,Frequency
1,sir,2
2,nothing,1
3,beats,1
4,efficiency,1
5,bangalore,47
6,airport,49
7,landing,1
8,immigration,52
9,exit,2
10,45,2
11,minutes,4
12,process,3
13,far,1
14,better,2
15,compare,1
16,many,3
17,european,1
18,countries,1
19,kudos,1
20,team,2
21,behind,1
22,recently,2
23,interesting,1
24,conversation,1
25,check,6
26,officer,10
27,knowing,3
28,traveling,1
29,said,2
30,lucky,1
31,learn,1
32,science,1
33,everyday,1
34,day,3
35,cnr,1
36,rao,1
37,arrival,1
38,lounge,1
39,amazingly,1
40,good,2
41,amp,2
42,efficient,2
43,smiling,1
44,customs,1
45,agents,1
46,easy,1
47,happy,2
48,feeling,1
49,come,1
50,home,1
51,3,2
52,let,1
53,board,1
54,flight,2
55,5th,1
56,aug,1
57,night,2
58,plz,1
59,help,2
60,answer,2
61,thank,2
62,7pm,1
63,65,1
64,booths,1
65,empty,1
66,vishwaguru,1
67,officers,1
68,professionals,1
69,know,1
70,exactly,1
71,happened,1
72,captured,1
73,cc,1
74,cameras,1
75,firstly,1
76,u,2
77,suppose,1
78,questions,1
79,asked,4
80,secondly,1
81,handles,1
82,travellers,1
83,world,1
84,prime,1
85,minister,1
86,narendra,1
87,modi,1
88,speak,4
89,kannada,7
90,dancer,2
91,salman,3
92,yusuf,1
93,khan,3
94,reveals,1
95,interaction,1
96,choreographer,1
97,yusuff,1
98,harassed,1
99,kisko,1
100,chutiya,1
101,bana,1
102,raha,1
103,hai,1
104,monday,1
105,take,3
106,guarded,1
107,cisf,2
108,majority,1
109,hindi,3
110,speakers,1
111,tell,1
112,name,1
113,batch,1
114,uniform,1
115,shameful,1
116,harassment,1
117,yousuf,1
118,long,4
119,escalates,1
120,lynching,1
121,seems,1
122,opportunities,1
123,days,1
124,faking,1
125,publicity,1
126,never,2
127,saw,2
128,even,3
129,one,3
130,found,1
131,chill,1
132,guys,3
133,auto,1
134,english,2
135,knowledge,1
136,bhimaru,1
137,states,1
138,engineer,1
139,baglanayantara,1
140,matter,1
141,travel,6
142,always,3
143,feel,2
144,worst,1
145,hit,1
146,become,1
147,hell,1
148,sure,1
149,fix,1
150,domestic,1
151,1,3
152,hour,1
153,security,4
154,international,1
155,30,1
156,mins,1
157,jour,1
158,que,1
159,12,1
160,30am,1
161,super,1
162,crazy,1
163,unhealthy,1
164,system,2
165,flyethiopiancom,1
166,staff,3
167,rude,1
168,listens,1
169,whatever,1
170,finish,1
171,another,1
172,official,1
173,checks,3
174,entry,1
175,seal,1
176,passport,1
177,worked,1
178,2,3
179,hours,1
180,standing,1
181,line,1
182,cluster,1
183,fuck,1
184,hey,1
185,bright,1
186,side,1
187,got,2
188,much,2
189,done,2
190,3am,1
191,queues,3
192,ordeal,1
193,less,1
194,q,2
195,wheelchair,1
196,plus,1
197,clearance,1
198,best,1
199,pretty,1
200,fancy,1
201,walk,1
202,around,1
203,post,1
204,crosses,1
205,250,1
206,million,1
207,passenger,1
208,mark,1
209,june,1
210,redundant,1
211,job,2
212,guy,1
213,stamp,1
214,turnstiles,1
215,vivek,1
216,venugopal,1
217,helping,1
218,us,3
219,morning,1
220,counters,2
221,crowded,1
222,assistance,1
223,really,1
224,appreciate,1
225,readiness,1
226,biocon,1
227,promoter,1
228,kiran,1
229,mazumdar,1
230,shaw,1
231,took,2
232,twitter,1
233,call,1
234,outsourced,1
235,services,1
236,grammy,1
237,winning,1
238,music,1
239,composer,1
240,rickykej,1
241,tweeted,2
242,video,1
243,looking,1
244,like,3
245,fish,1
246,market,1
247,via,1
248,dozens,1
249,times,1
250,bad,1
251,huge,1
252,almost,1
253,changed,1
254,nammabengaluroo,1
255,within,1
256,15,1
257,blrairport,1
258,kiranshaw,2
259,meaindia,1
260,drsjaishankar,1
261,part,1
262,excellent,1
263,normal,1
264,covid,1
265,test,1
266,smooth,1
267,quick,2
268,also,1
269,singling,1
270,management,1
271,complaining,1
272,whoever,1
273,may,1
274,involved,1
275,mismanaged,1
276,complacent,1
277,way,1
278,flights,1
279,capacity,1
280,waiting,1
281,time,4
282,70,1
283,5,1
284,working,1
285,please,1
286,something,3
287,jam,1
288,packed,1
289,kiosks,1
290,open,1
291,peak,1
292,need,1
293,improve,1
294,immediately,1
295,40,1
296,stopped,2
297,cbi,3
298,taken,1
299,look,1
300,circular,1
301,thursday,1
302,says,2
303,nobody,2
304,answering,2
305,calls,2
306,patel,1
307,due,1
308,wednesday,1
309,authorities,2
310,prevented,1
311,leaving,1
312,country,1
313,despite,1
314,judicial,1
315,order,1
316,permitting,1
317,outside,1
318,india,1
319,speaking,1
320,engagements,1
321,experience,3
322,landed,2
323,testing,1
324,already,1
325,setup,1
326,multiple,1
327,sample,1
328,collection,1
329,points,1
330,payment,1
331,thru,1
332,upi,1
333,however,1
334,pain,1
335,onward,1
336,trip,1
337,cuz,1
338,counter,1
339,sweet,1
340,verify,1
341,asks,1
342,word,1
343,enginner,1
344,felt,1
345,disappointed,1
346,emirates,1
347,ready,1
348,passengers,1
349,without,1
350,approval,1
351,main,1
352,problem,1
353,people,1
354,allow,1
355,expect,1
356,luckily,1
357,feels,1
358,local,1
359,language,1
360,hariprasadholla,1
361,btw,1
362,ps,1
363,replied,1
364,absolutely,1
365,ocassions,1
366,asking,1
367,replying,1
368,protocol,1
369,takes,1
370,corona,1
371,whereabouts,1
372,form,4
373,unless,1
374,avoided,1
375,massive,1
376,collusion,1
377,hear,1
378,escaped,1
379,sakshijoshii,1
380,friend,1
381,mine,1
382,munich,1
383,3rd,1
384,march,1
385,screening,1
386,walked,1
387,usual,1
388,ohh,1
389,right,1
390,infront,1
391,Today,1
392,Bengaluru,1
393,Airport,1
394,section,1
395,purpose,1
396,gave,1
397,reference.,1
398,hello,1
399,left,1
400,bag,1
401,express,1
402,coach,1
403,26th,1
404,July.,1
405,unable,1
406,fill,1
407,online.,1
408,able,1
409,contact,1
410,teams,1
411,well.,1
412,Bangalore,2
413,2008,1
414,piece,1
415,hand,1
416,cop,1
417,gate,1
418,mumbai,1
419,stupidest,1
420,thing,1
421,world.,1
422,stellar,1
423,truly,1
424,contactless.,1
425,Print,1
426,boarding,1
427,.,1
428,US,1
429,SFO,1
430,complete,1
431,contrast.,1
432,immigration,84
433,international,6
434,arrivals,2
435,bangalore,84
436,airport,89
437,breeze,1
438,probably,1
439,one,7
440,best,2
441,world,2
442,bag,2
443,collection,1
444,nightmare,2
445,usually,2
446,takes,2
447,1,5
448,5,4
449,2,7
450,hours,9
451,get,5
452,bags,1
453,pretty,2
454,sure,2
455,babu,1
456,sprinkled,1
457,stardust,1
458,sir,6
459,nothing,2
460,beats,1
461,efficiency,1
462,landing,1
463,exit,2
464,45,2
465,minutes,4
466,process,4
467,far,1
468,better,3
469,compare,1
470,many,3
471,european,1
472,countries,1
473,kudos,1
474,team,1
475,behind,1
476,recently,3
477,interesting,1
478,conversation,2
479,check,11
480,officer,15
481,knowing,3
482,traveling,1
483,said,2
484,lucky,1
485,learn,1
486,science,1
487,everyday,1
488,day,3
489,cnr,1
490,rao,1
491,arrival,3
492,lounge,2
493,amazingly,1
494,good,2
495,amp,6
496,efficient,2
497,smiling,1
498,customs,4
499,agents,1
500,easy,1
501,happy,2
502,feeling,2
503,come,3
504,home,4
505,3,3
506,let,2
507,board,3
508,flight,6
509,5th,1
510,aug,1
511,night,4
512,plz,1
513,help,3
514,answer,1
515,thank,3
516,new,4
517,delhi,6
518,objection,1
519,received,1
520,authorities,3
521,regarding,1
522,detention,1
523,sandeep,2
524,son,2
525,resident,3
526,om,1
527,prakash,1
528,matching,1
529,details,2
530,bareta,1
531,accused,1
532,sacrilege,1
533,case,1
534,basis,1
535,loc,1
536,zigzackly,1
537,sign,1
538,humility,1
539,expect,2
540,know,3
541,family,2
542,connections,2
543,however,1
544,well,2
545,known,1
546,may,2
547,country,2
548,ask,1
549,ten,1
550,random,1
551,people,2
552,office,2
553,kapil,1
554,sharma,1
555,sudha,1
556,murthy,1
557,surprised,1
558,7pm,1
559,65,1
560,booths,1
561,empty,1
562,vishwaguru,1
563,demanding,1
564,yellow,1
565,fever,1
566,card,1
567,passenger,2
568,sudan,1
569,warzone,1
570,around,3
571,15,2
572,persons,1
573,morethan,1
574,hrs,1
575,hold,1
576,saying,1
577,keep,1
578,quarantine,1
579,6days,1
580,hospital,1
581,used,1
582,concierge,1
583,service,3
584,via,3
585,magnus,1
586,tthe,1
587,first,1
588,time,10
589,due,3
590,wait,5
591,getting,1
592,queue,2
593,counters,3
594,fast,3
595,track,1
596,tracked,1
597,security,7
598,big,2
599,problem,4
600,though,1
601,since,2
602,poe,1
603,us,7
604,india,7
605,assume,1
606,would,1
607,happen,1
608,also,3
609,collect,2
610,checked,2
611,luggage,1
612,hand,3
613,indigo,2
614,domestic,3
615,leg,1
616,prime,1
617,minister,1
618,narendra,1
619,modi,1
620,speak,4
621,kannada,9
