full_text,sentiment
stopped leaving india bangalore airport exit control list got passport back court order specifically trip us,Negative
sos wife chinese passport valid oci card holder mother 2 minor indian citizens refused entry bangalore airport immigration arrived 11 00 today 3 5 week visit home please help sos number 9886454940,Positive
mam indian passport valid 5 months still immigration allowing us check bangalore airport thailand minimum passport validity 30 days need urgent help passport number h4990495,Positive
experience earlier month bangalore airport described mildly horrific one amp half hours check done online check took another hour plus passport control pathetic state affairs,Negative
desi british passport holder always communicate hindi bangalore airport always speak kannada stay gestures,Neutral
loosing passport nightmare thank staff cisfhqrs bangalore airport helping find passport,Positive
brother passport impounded immigration authority bangalore airport due high negligance passport authority system allowed travel shame value common person country urgent action,Negative
passport lost bangalore airport visited rpo office twice already airport authority sent passport rpo office want official appointment app allow book passport hyderabad address kindly help,Positive
one officer bangalore airport immigration counter tore cousin passport intentionally restricted traveling clear harassment,Negative
sister h4 visa holder denied board flight bangalore airport today saying usa travel ban travelled outside india last 1 month care share resource citing travel ban indian passport holders,Negative
forcefully quarantined hospital bangalore airport authority returned brazil without yellow fever vaccine hospital taken passport unfair allowed quarantine home blrairport mohfw_india pmoindia,Negative
travel domestic airlines usa driving licence id proof bangalore airport atleast soft copy usa passport traveling chennai bangalore,Neutral
bangalore vale tinder passport leke bangalore airport pe matches dhund rahe honge,Neutral
security bangalore airport use fast dry ink stamp passport boarding pass ink mess unhealthy folks ocd,Negative
quite astonishing often show boarding card passport bangalore airport ever need security experts,Positive
bangalore airport dumbest security ever check bags passport 80 times walk right around without notice,Negative
customs officers bangalore airport asking using passangers passport buy liquer duty free shop also sale liquer higher price side,Positive
custom officers made buy whiskey duty free shop passport also gave 70 bangalore airport,Positive
hello minister landed bangalore airport long time two peculiar things elsewhere like delhi 1 x ray screening immigration 2 another check whether passport stamped immigration,Negative
hello madam travelling thailand kids apparently passport validity kids till apr 19 return ticket 31st dec 18 please help ai 338 bangalore airport thanks amp regards ruchir 91 99862 13700 meaindia please help,Positive
two airports one day bangkok amp istanbul speed ease checkin security passport control boarding food shopping signs ease movements bathrooms cleanliness significantly better delhi mumbai bangalore airport nice location nightmare,Positive
took kannur passport center lesser time issue new passport immigration officer bangalore airport stamp passports 4 indians coming back home,Neutral
bangalore airport ba asked fill form give passport details address provided details asked complain ba emp said receiving mobile far received anything,Negative
sorry bother son getting immigration clearance bangalore airport going nepal aadhar driving licence pan card students id passport voter id last two documents compulsory pls reply early,Negative
welcome change bangalore airport separate counter indian passport holders,Positive
bangalore airport finish immigration another official checks entry seal passport,Neutral
passport officer takes everybody passport leave every body claps hand air cut 305 ext bangalore airport india day large ac bus stops airport,Positive
ran old friend waiting line passport check point bangalore airport seen years,Positive
husband stoped bangalore airport saying passport revoked ad embassy,Neutral
valid passport six month validity arrive bangalore airport get stamping arrival,Neutral
lost passport bangalore airport lol day 1 one minute world pe via youtube,Positive
stranded bangalore airport visa associated old passport pr holder,Negative
hello madam 19 yr old son usa passport oci harassed bangalore airport customs 120 tv,Negative
stopped leaving india bangalore airport exit control list got passport back court order specifically trip us aakar patel tweeted rana ayyub p,Negative
bhai yeh fir bhi hyd airport hai best one delhi mumbai bangalore airport dekh liya toh passport faad doge tum,Positive
bangalore airport immigration tried intimidate fossie answering stupid pajeety creamy questions like wher yar yoor furam told pajeets passport says pajeets knew passport holds weight let go,Positive
