Topic,Word,Frequency
1,stopped,2
2,leaving,1
3,india,3
4,bangalore,46
5,airport,44
6,exit,1
7,control,1
8,list,1
9,got,1
10,passport,45
11,back,6
12,court,2
13,order,1
14,specifically,1
15,trip,2
16,us,4
17,desi,1
18,british,1
19,holder,2
20,always,2
21,communicate,1
22,hindi,1
23,speak,1
24,kannada,1
25,stay,1
26,gestures,1
27,loosing,1
28,nightmare,1
29,thank,2
30,staff,1
31,cisfhqrs,1
32,helping,1
33,find,1
34,one,4
35,officer,5
36,immigration,8
37,counter,2
38,tore,1
39,cousin,1
40,intentionally,1
41,restricted,1
42,traveling,3
43,clear,1
44,harassment,2
45,travel,1
46,domestic,1
47,airlines,1
48,usa,3
49,driving,1
50,licence,1
51,id,2
52,proof,1
53,atleast,1
54,soft,1
55,copy,2
56,chennai,1
57,vale,1
58,tinder,1
59,leke,1
60,pe,2
61,matches,1
62,dhund,1
63,rahe,1
64,honge,1
65,security,4
66,use,1
67,fast,1
68,dry,1
69,ink,2
70,stamp,2
71,boarding,5
72,pass,2
73,mess,1
74,unhealthy,1
75,folks,1
76,ocd,1
77,quite,2
78,astonishing,1
79,often,1
80,show,2
81,card,1
82,ever,2
83,need,1
84,experts,1
85,dumbest,1
86,check,3
87,bags,2
88,80,1
89,times,2
90,walk,1
91,right,1
92,around,1
93,without,1
94,notice,1
95,customs,4
96,officers,3
97,asking,1
98,using,1
99,passangers,1
100,buy,2
101,liquer,2
102,duty,2
103,free,2
104,shop,2
105,also,2
106,sale,1
107,higher,1
108,price,1
109,side,1
110,custom,1
111,made,1
112,whiskey,1
113,gave,1
114,70,1
115,welcome,1
116,change,1
117,separate,1
118,indian,4
119,holders,1
120,finish,1
121,another,1
122,official,1
123,checks,1
124,entry,1
125,seal,1
126,ran,1
127,old,3
128,friend,1
129,waiting,1
130,line,1
131,point,1
132,seen,1
133,years,2
134,husband,1
135,stoped,1
136,saying,1
137,revoked,1
138,ad,1
139,embassy,1
140,valid,1
141,six,1
142,month,1
143,validity,1
144,arrive,1
145,get,2
146,stamping,1
147,arrival,1
148,lost,2
149,lol,1
150,day,2
151,1,1
152,minute,1
153,world,1
154,via,2
155,youtube,1
156,stranded,1
157,visa,2
158,associated,1
159,pr,1
160,hello,1
161,madam,1
162,19,1
163,yr,1
164,son,1
165,oci,1
166,harassed,1
167,120,1
168,tv,1
169,yeah,1
170,blr,1
171,nice,1
172,mumbai,1
173,fave,1
174,hahaha,1
175,tell,1
176,story,1
177,way,1
178,kerala,1
179,kenya,1
180,telling,1
181,go,2
