Topic,Word,Frequency
1,bangalore,22
2,airport,23
3,security,24
4,check,23
5,organized,1
6,process,1
7,one,3
8,slowest,1
9,beside,1
10,29th,1
11,may,1
12,leaving,1
13,delhi,2
14,modi,1
15,swearing,1
16,never,2
17,really,3
18,thought,1
19,would,1
20,back,1
21,cm,1
22,soon,1
23,today,3
24,3,1
25,queues,2
26,men,2
27,queue,2
28,women,2
29,many,1
30,travel,2
31,reason,2
32,ridiculousness,1
33,massive,1
34,traffic,2
35,jam,1
36,since,2
37,4,1
38,30,2
39,pm,2
40,full,1
41,thursday,1
42,normally,1
43,trips,1
44,short,1
45,take,1
46,shoulder,1
47,bag,3
48,nowadays,1
49,strict,1
50,things,1
51,crowd,1
52,hand,1
53,containing,1
54,small,1
55,cello,2
56,tape,2
57,roll,1
58,office,1
59,use,2
60,asked,2
61,open,1
62,find,1
63,anything,1
64,objectionable,1
65,took,1
66,harmless,1
67,confiscated,1
68,strange,1
69,TRUE,1
70,comedy,1
71,sharing,1
72,leave,1
73,frooti,1
74,bottles,1
75,tab,1
76,se,1
77,frustrated,1
78,tha,1
79,expect,1
80,delays,1
81,extended,1
82,ground,1
83,floor,1
84,pathetically,1
85,slow,2
86,morning,1
87,fastag,1
88,mess,1
89,accumulated,1
90,gone,1
91,crazier,1
92,thanks,1
93,chakravyugam,1
94,based,1
95,handbaggage,1
96,system,1
97,get,2
98,70,1
99,mins,1
100,highway,2
101,practically,1
102,takes,3
103,2,2
104,5,2
105,hours,2
106,needs,1
107,manoeuvre,1
108,reach,2
109,still,1
110,great,1
111,less,1
112,flight,3
113,time,1
114,etc,1
115,included,1
116,nenu,1
117,hyd,2
118,mumbai,1
119,via,1
120,chesaaru,1
121,lo,2
122,dad,1
123,ki,2
124,em,1
125,objection,1
126,cheppaledu,1
127,banglore,1
128,pant,1
129,edo,1
130,iron,1
131,vundi,1
132,adi,2
133,sound,1
134,vasthunthee,1
135,chaala,1
136,radhanatham,1
137,chesaadu,1
138,aadu,1
139,naaku,1
140,natchaledu,1
141,vijayawada,1
142,best,1
143,anipinchaai,1
144,naku,1
145,surprised,1
146,see,1
147,collection,2
148,deodorant,1
149,real,1
150,personal,1
151,forget,1
152,wrist,1
153,watch,2
154,hublot,1
155,golden,1
156,kindly,1
157,checking,1
158,minutes,1
159,pass,2
160,gates,1
161,wonder,1
162,government,1
163,opening,1
164,checkin,1
165,points,1
166,haha,1
167,mom,1
168,gave,1
169,pure,1
170,desi,1
171,ghee,1
172,main,1
173,ingredient,1
174,haryanvi,1
175,diet,1
176,found,1
177,new,1
178,parents,1
179,son,1
180,born,1
181,returning,1
182,bombay,1
183,reached,1
184,realised,1
185,ticket,1
186,allow,1
187,board,1
188,chennai,2
189,11,1
190,10pm,1
191,9,1
192,45,1
193,travelling,1
194,international,1
195,nagpur,1
196,bangalore,21
197,airport,24
198,security,25
199,check,24
200,organized,1
201,process,1
202,one,2
203,slowest,1
204,beside,1
205,29th,1
206,may,1
207,leaving,1
208,delhi,1
209,modi,1
210,swearing,1
211,never,2
212,really,3
213,thought,1
214,would,1
215,back,1
216,cm,1
217,soon,1
218,today,2
219,3,1
220,queues,2
221,men,2
222,queue,2
223,women,2
224,many,1
225,travel,1
226,reason,2
227,ridiculousness,1
228,massive,1
229,traffic,1
230,jam,1
231,since,2
232,4,1
233,30,2
234,pm,2
235,full,1
236,thursday,1
237,normally,1
238,trips,1
239,short,1
240,take,3
241,shoulder,1
242,bag,2
243,nowadays,1
244,strict,1
245,things,1
246,crowd,1
247,comedy,1
248,sharing,1
249,asked,1
250,leave,1
251,frooti,1
252,bottles,1
253,tab,1
254,se,1
255,frustrated,1
256,tha,1
257,expect,1
258,delays,1
259,extended,1
260,ground,1
261,floor,1
262,pathetically,1
263,slow,2
264,morning,1
265,fastag,1
266,mess,1
267,accumulated,1
268,gone,1
269,crazier,1
270,thanks,1
271,chakravyugam,1
272,based,1
273,handbaggage,1
274,system,1
275,get,3
276,traveling,1
277,trivandrum,2
278,onwards,1
279,mumbai,2
280,forgot,1
281,phone,1
282,laptop,1
283,chargers,1
284,help,1
285,please,1
286,surprised,1
287,see,1
288,collection,2
289,deodorant,1
