full_text,sentiment
recently scammed airasia bangalore airport india told us visa valid wasted 15 hours us 85k loss going refund wasted time money need solution asap,Negative
kushanmitra canada leverage 5 eyes country lot prime real estate india owned canadian funds including bangalore airport issuance visas,Neutral
coral card visa platinum international card accepted terminal 2 bangalore airport lounge access,Negative
many many passengers facing inconvenience etihad check counter visa arrival process boarding flights bangalore airport come understanding based experiences friends traveled via etihad airlines,Positive
good experience flights bad experience airvistara staff bangalore airport check counters check counter staff verify visa asked book return tickets check,Negative
paytm visa debit card accessible bangalore airport lounge,Neutral
thrishul travelling choice difficult days visas easy tickets cheap daily flights available bangalore airport footfall remarkable,Positive
able access lounge bangalore airport using hsbc visa platinum credit card website says get 3 complimentary lounge access,Positive
bizarre rule lots issues visas flights etc bangalore airport,Negative
worst pathetic service bangalore airport allowed board flight uae even though us valid visa man charge girishkumar absolutely useless asked wait 40mins end allow board customerexperience,Negative
sorry figure mumbai bangalore airport lounges denied access kotak royale visa signature card reason kotak tie ups lounge kotak website claims tieups lounges lounges claim otherwise,Negative
bangalore airport staff needs educated schengen country issues visa traveller transits germany need german host invitation etc moreover even business validate docs ministry issued visa,Positive
went checkin security visa check 35 minutes bangalore airport dublinairport might want call exchange ideas airport 1st world country works way worse,Negative
stuck bangalore airport visa issue anyway reach help stuck help borderforceuk,Positive
yeah cousin denied free entry visa card though visa lists bangalore airport free lounge access list wondering anyone check advance,Positive
waiting bangalore airport domestic longue staff says visa cards working since 2 today 15th feb 2022,Neutral
well ba staff bangalore airport following ukgov exemptions ba iata recommendations transit visas still stubbornly claiming exemptions need look,Negative
respected honourable minister iam travelling 28 12 21 frankfurt bangalore return journey germany tourist visa understand bangalore airport lot harassment going like delay rtpcr reports collecting charges,Positive
travelling e visa dubai 22 october 0130 pm bangalore airport assist covid test requirements,Neutral
need clarification indians valid us visa eligible visa arrival dubai right confusion bangalore airport friend trying board,Positive
sir urgent please guide us problem bangalore airport immigration today officer allow children board emirates flight transit visa dubai waiting time dubai 4 hours flying dhaka via dubai,Negative
student stranded bangalore holding new family visa bahrain parents residing bahrain please arrange flight bahrain bangalore airport,Positive
dear sir kindly help us lost job visa canceled 21st march stay registration select bangalore airport unfortunately far flight karnataka bangalore kindly avoid please,Positive
dear embassy india send wife back india 7 months pregnant visit visa visa going get expire please arrange flight dammam airport bangalore airport kindly treat urgent indianembriyadh,Positive
omanair urgent help needed passenger bangalore airport copr permanent resident visa canada staff letting board please help,Positive
sister h4 visa holder denied board flight bangalore airport today saying usa travel ban travelled outside india last 1 month care share resource citing travel ban indian passport holders,Negative
stranded bangalore airport refused entry india china 28 days ago twenty fucking eight days ago reasonable visa policy beyond absolutely want die,Negative
bangalore airport lounge late serving one worst tasting food visa mastercard amex prioritycards please note amexcards,Negative
bangalore airport lounge denied acess visa card permit till three hours departure feels betyayed humiliated must clarify clauses customers abt cards jagograhakjago visa signature card,Negative
5 n lesson learnt cheapest get cash forex atm withdrawn using visa mastercard foreign country taking bangalore airport,Neutral
living bangalore understand visa entry bangalore airport takes time,Neutral
yes got big fight bangalore airport hindi officer told need visa come bangalore fly country told people like make sure create situation need visa come south southern officers good,Positive
immigration authorities bangalore airport surprised brand new interpretation restrictions length stay business visas may exceed 180 days calendar year claiming new policy went effect year correct,Positive
respected sushmaswaraj meaindia one guest stuck sweden bangalore airport visa expired applied new evisa please could help getting expedited thanks help,Positive
lounge access bangalore airport limited master card visa u claim idfc visa card also give feature,Negative
customs officer bangalore airport know bangkok visa arrival sure bangkok thailand indonesia truestory,Positive
visa card denied plaza lounge bangalore airport reason given temporary withdrawal intimation cardholders poor customer experience pl explain withdrawn,Negative
kirenrijiju honble minister dragonfly organic hired german national peter georg alfred laass ceo start organic restaurant amp bakery despite valid employment visa sent back immigration bangalore airport please help sir project benefits poor organic farmers,Positive
denied entry bangalore airport hv e tourist visa india since sept 27 normal 3 mth tourist visa runs 18 dec got e visa n went sri lanka n returned day told get student visa tourist visa studying,Negative
ur credit cards visa allowed access bangalore airport lounge strange,Positive
ur ground staff bangalore airport know rules partner investor visa entry 365 days please gt better team,Positive
bangalore airport stands third e tourist visa arrivals,Neutral
australian man refused entry india despite valid visa bangalore airport,Negative
guest mine japanese citizen stuck bangalore airport w visa know apply online beforehand,Negative
bangalore airport took five seconds turn 15 year visa free entry pio person indian origin card lifetime visa free doc,Positive
bangalore airport immigration baggage delivery customs ranks best class hand bag scanning amp visa arrival professional,Positive
helpsingapore immigration website parents stuck bangalore airport need second page visa print tigerairways cooperati,Negative
bangalore airport starts 30 day visa arrival japan singapore nz philippines indonesia finland laos vietnam myanmar cambodia,Neutral
indian visa arrival bangalore airport foreign nationals 11 countries india travel visa,Neutral
karnataka hc acquits woman officer bribery charges visa arrival foreigners bangalore airport,Negative
bangalore visa arrival foreigners bangalore airport,Neutral
