Topic,Word,Frequency
1,kushanmitra,1
2,canada,2
3,leverage,1
4,5,2
5,eyes,1
6,country,5
7,lot,2
8,prime,1
9,real,1
10,estate,1
11,india,5
12,owned,1
13,canadian,1
14,funds,1
15,including,1
16,bangalore,44
17,airport,39
18,issuance,1
19,visas,4
20,coral,1
21,card,7
22,visa,43
23,platinum,2
24,international,1
25,accepted,1
26,terminal,1
27,2,2
28,lounge,8
29,access,5
30,good,2
31,experience,3
32,flights,3
33,bad,1
34,airvistara,1
35,staff,7
36,check,4
37,counters,1
38,counter,1
39,verify,1
40,asked,1
41,book,1
42,return,2
43,tickets,2
44,paytm,1
45,debit,1
46,accessible,1
47,thrishul,1
48,travelling,3
49,choice,1
50,difficult,1
51,days,4
52,easy,1
53,cheap,1
54,daily,1
55,available,1
56,footfall,1
57,remarkable,1
58,able,1
59,using,2
60,hsbc,1
61,credit,2
62,website,2
63,says,2
64,get,3
65,3,2
66,complimentary,1
67,bizarre,1
68,rule,1
69,lots,1
70,issues,2
71,etc,2
72,needs,1
73,educated,1
74,schengen,1
75,traveller,1
76,transits,1
77,germany,2
78,need,6
79,german,1
80,host,1
81,invitation,1
82,moreover,1
83,even,1
84,business,1
85,validate,1
86,docs,1
87,ministry,1
88,issued,1
89,went,2
90,checkin,1
91,security,1
92,35,1
93,minutes,1
94,dublinairport,1
95,might,1
96,want,2
97,call,1
98,exchange,1
99,ideas,1
100,1st,1
101,world,1
102,works,1
103,way,1
104,worse,1
105,stuck,4
106,issue,1
107,anyway,1
108,reach,1
109,help,5
110,borderforceuk,1
111,waiting,1
112,domestic,1
113,longue,1
114,cards,2
115,working,1
116,since,2
117,today,1
118,15th,1
119,feb,1
120,2022,1
121,well,1
122,ba,2
123,following,1
124,ukgov,1
125,exemptions,2
126,iata,1
127,recommendations,1
128,transit,1
129,still,1
130,stubbornly,1
131,claiming,1
132,look,1
133,respected,1
134,honourable,1
135,minister,1
136,iam,1
137,28,2
138,12,1
139,21,1
140,frankfurt,1
141,journey,1
142,tourist,5
143,understand,2
144,harassment,1
145,going,1
146,like,2
147,delay,1
148,rtpcr,1
149,reports,1
150,collecting,1
151,charges,2
152,e,4
153,dubai,2
154,22,1
155,october,1
156,130,1
157,pm,1
158,assist,1
159,covid,1
160,test,1
161,requirements,1
162,clarification,1
163,indians,1
164,valid,2
165,us,2
166,eligible,1
167,arrival,7
168,right,1
169,confusion,1
170,friend,1
171,trying,1
172,board,2
173,student,2
174,stranded,2
175,holding,1
176,new,1
177,family,1
178,bahrain,3
179,parents,2
180,residing,1
181,please,5
182,arrange,1
183,flight,2
184,dear,1
185,sir,1
186,kindly,2
187,lost,1
188,job,1
189,canceled,1
190,21st,1
191,march,1
192,stay,1
193,registration,1
194,select,1
195,unfortunately,1
196,far,1
197,karnataka,2
198,avoid,1
199,omanair,1
200,urgent,1
201,needed,1
202,passenger,1
203,copr,1
204,permanent,1
205,resident,1
206,letting,1
207,refused,2
208,entry,5
209,china,1
210,ago,2
211,twenty,1
212,fucking,1
213,eight,1
214,reasonable,1
215,policy,1
216,beyond,1
217,absolutely,1
218,die,1
219,late,1
220,serving,1
221,one,1
222,worst,1
223,tasting,1
224,food,1
225,mastercard,2
226,amex,1
227,prioritycards,1
228,note,1
229,amexcards,1
230,n,3
231,lesson,1
232,learnt,1
233,cheapest,1
234,cash,1
235,forex,1
236,atm,1
237,withdrawn,2
238,foreign,2
239,taking,1
240,living,1
241,takes,1
242,time,1
243,yes,1
244,got,2
245,big,1
246,fight,1
247,hindi,1
